,Wind,Total TTE,Mean TTE,Completed Mission,Reward,Time Outside Corridor
0,zero,533.3795541022555,6.349756596455423,True,3921.0,0.41
1,n5,704.868970702245,7.342385111481718,True,4241.0,0.35
2,n7,1625.867048331158,15.93987302285449,True,3563.0,0.49
3,n10,2378.158524434677,7.90085888516504,False,-16238.0,2.95
4,s5,484.15659000243147,5.695959882381547,True,4361.0,0.32
5,s7,534.584854633169,6.006571400372685,True,4482.0,0.31
6,s10,2378.158524434677,7.90085888516504,False,-16238.0,2.95
7,e5,646.8515219046967,7.2679946281426595,True,4655.0,0.28
8,e7,1757.3678405571263,16.736836576734536,True,3883.0,0.42
9,e10,96849.2781480304,305.5182275963104,False,-14944.0,2.99
10,w5,733.070114495471,7.798618239313521,True,4018.0,0.4
11,w7,1743.2555613586446,16.14125519776523,True,3297.0,0.53
12,w10,38.186030238168314,0.12686388783444622,False,-1500.0,0.0
13,nw5,654.3901247902666,7.6987073504737245,True,3844.0,0.43
14,nw7,678.22402635349,6.398339871259339,True,4673.0,0.27
15,nw10,1905.100918508635,16.00925141603895,True,2524.0,0.69
16,sw5,535.6325116976057,6.228285019739601,True,4150.0,0.37
17,sw7,701.1944270221707,6.678042162115911,True,4483.0,0.3
18,sw10,2032.6809683810334,17.081352675470868,True,2864.0,0.63
19,ne5,620.7584450326844,7.479017410032343,True,3948.0,0.42
20,ne7,707.2795381139008,6.7359956010847695,True,4661.0,0.26
21,ne10,2064.052200545172,17.641471799531384,True,2739.0,0.65
22,se5,508.8539624494869,6.057785267255797,True,4286.0,0.35
23,se7,655.145266291031,7.530405359667023,True,4644.0,0.27
24,se10,1990.2141236556574,18.954420225291976,True,3241.0,0.56
